   4   5       57.5182   4   6       128.859   4   7       67.1407   5   5       115.791   5   6       118.491   5   7       50.2602   6   5       50.5955   6   6       95.7776   6   7       69.0133
   6   4       43.3672   6   5        83.636   6   6       60.6776   7   4       112.577   7   5       141.704   7   6       84.2142   8   4       58.6328   8   5       83.5998   8   6       48.8568
   4   5       54.2454   4   6       90.9433   4   7       47.8133   5   5       85.2611   5   6       161.212   5   7       97.4348   6   5       49.7588   6   6       93.7477   6   7       75.8286
   6   4       55.4971   6   5       93.8638   6   6       28.7667   7   4        107.68   7   5       158.006   7   6       92.1658   8   4       66.9225   8   5       126.984   8   6       53.9563
   6   5       79.5471   6   6       82.4126   6   7       51.1747   7   5        136.51   7   6       130.411   7   7        130.04   8   5       74.7458   8   6       89.2853   8   7       54.9864
   5   5       55.3431   5   6       95.6379   5   7       67.9059   6   5       106.957   6   6       161.888   6   7       122.698   7   5        58.712   7   6       111.039   7   7       40.1077
   4   4       62.4901   4   5       94.9956   4   6       52.2162   5   4        69.881   5   5       213.794   5   6       104.605   6   4        76.407   6   5       109.786   6   6       51.6579
   5   5       48.7956   5   6       111.475   5   7       49.1407   6   5        94.883   6   6        206.78   6   7       104.212   7   5       97.6427   7   6       131.302   7   7       79.1158
   4   5       46.2524   4   6       102.891   4   7       63.8788   5   5       51.2199   5   6       139.614   5   7       54.7956   6   5       46.8241   6   6       87.6076   6   7       48.9762
   5   5       53.9254   5   6       64.2991   5   7       47.4822   6   5       96.6013   6   6       195.943   6   7       132.779   7   5       59.8637   7   6       100.031   7   7       73.5187
   5   5       53.0355   5   6       105.478   5   7       82.1726   6   5       138.036   6   6       147.343   6   7       82.1627   7   5       43.5526   7   6       69.7221   7   7       54.0711
   4   5        42.956   4   6       76.2937   4   7       56.8663   5   5       100.024   5   6       233.478   5   7       103.322   6   5        62.899   6   6       82.6103   6   7       78.7704
   5   4       80.8242   5   5       104.401   5   6        46.823   6   4       102.054   6   5        148.46   6   6       114.049   7   4       73.9568   7   5       111.867   7   6       53.9164
   5   5       51.1205   5   6       86.1953   5   7       67.4981   6   5       100.259   6   6       144.668   6   7       105.975   7   5        53.076   7   6       97.3235   7   7       64.4611
   4   6       50.8016   4   7       84.0798   4   8       79.2259   5   6       125.756   5   7       170.038   5   8       95.0238   6   6       56.4868   6   7       49.8932   6   8       47.2943
   4   4       58.0635   4   5       93.9452   4   6       59.9193   5   4       109.941   5   5        137.71   5   6       95.4164   6   4       56.6982   6   5       96.7801   6   6       74.5129
   5   4       69.8977   5   5        75.975   5   6       65.6984   6   4       102.739   6   5       168.177   6   6       110.323   7   4        55.902   7   5       100.124   7   6       70.1663
   5   4       50.4142   5   5       71.0247   5   6       69.6535   6   4       89.9575   6   5       128.692   6   6       120.854   7   4       38.9537   7   5       118.999   7   6       59.1357
   5   5        84.591   5   6       124.121   5   7       55.9574   6   5       86.5189   6   6       114.039   6   7       81.3969   7   5        57.608   7   6       80.2815   7   7       73.1428
   5   4       52.5665   5   5       81.5318   5   6       64.6434   6   4       136.152   6   5       187.203   6   6       90.3748   7   4       62.4867   7   5       92.9131   7   6       54.2491
   5   5       64.9411   5   6       97.9901   5   7       56.9427   6   5       87.8104   6   6       112.334   6   7       109.146   7   5       66.5924   7   6        63.828   7   7       50.2975
   4   4       67.3625   4   5       121.639   4   6       67.5802   5   4       116.516   5   5       138.058   5   6       108.995   6   4       68.3618   6   5       111.486   6   6       55.1399
   7   5       70.1744   7   6       67.7644   7   7       78.1184   8   5       68.3294   8   6       119.023   8   7       92.3424   9   5       36.1686   9   6       94.1653   9   7       29.1992
   5   5       55.8217   5   6       102.802   5   7         57.29   6   5       99.4153   6   6       138.542   6   7       94.0113   7   5       65.6424   7   6       99.2638   7   7       63.9073
   3   4       58.3319   3   5       120.052   3   6       27.0926   4   4       72.6732   4   5       107.215   4   6       117.165   5   4       51.2662   5   5       89.6361   5   6       50.7997
